case_id,type,canonical,matched,normalized,statute,date,year
2025_7_2161_2168_EN,section,Section 318,Section 318,318,Bharatiya Nyaya Sanhita,,2025
2025_7_859_934_EN,section,Section 473,Section 473,473,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_8_785_798_EN,section,Section 308,"ss.308, 325, 323, 341, 506, 188, 269, 34",308,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_8_785_798_EN,section,Section 25,"ss.25,
54, 59",25,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_8_966_986_EN,section,Section 306,s.306,306,Bharatiya Nyaya Sanhita,,2025
2025_8_966_986_EN,section,Section 107,s.107,107,Bharatiya Nyaya Sanhita,,2025
2025_8_966_986_EN,section,Section 108,s.108,108,Bharatiya Nyaya Sanhita,,2025
2025_8_966_986_EN,section,Section 45,s.45,45,Bharatiya Nyaya Sanhita,,2025
2025_8_966_986_EN,section,Section 306,s.306,306,Bharatiya Nyaya Sanhita,,2025
2025_8_966_986_EN,section,Section 107,s.107,107,Bharatiya Nyaya Sanhita,,2025
2025_8_966_986_EN,section,Section 306,Section 306,306,Bharatiya Nyaya Sanhita,,2025
2025_8_966_986_EN,section,Section 107,Section 107,107,Bharatiya Nyaya Sanhita,,2025
2025_8_966_986_EN,section,Section 108,Section 108,108,Bharatiya Nyaya Sanhita,,2025
2025_8_966_986_EN,section,Section 45,Section 45,45,Bharatiya Nyaya Sanhita,,2025
2025_9_1490_1514_EN,section,Section 409,Section 409,409,Bharatiya Nyaya Sanhita,,2025
2025_9_1490_1514_EN,section,Section 309,Section 309,309,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_9_1490_1514_EN,section,Section 346,Section 346,346,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_9_1490_1514_EN,section,Section 173,Section 173,173,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_9_1490_1514_EN,section,Section 173,Section 173,173,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_9_1490_1514_EN,section,Section 173,Section 173,173,Bharatiya Nagarik Suraksha Sanhita,,2025
2025_9_1490_1514_EN,section,Section 173,Section 173,173,Bharatiya Nagarik Suraksha Sanhita,,2025
